time	V(n002)	V(n011)
2.453008549104303e-03	3.963246e+00	1.283208e-01
2.462774174104303e-03	3.969847e+00	1.315850e-01
2.472539799104303e-03	3.976249e+00	1.347520e-01
2.482305424104303e-03	3.982453e+00	1.378216e-01
2.492071049104303e-03	3.988459e+00	1.407942e-01
2.501836674104303e-03	3.994268e+00	1.436703e-01
2.511602299104303e-03	3.999882e+00	1.464505e-01
2.521367924104303e-03	4.005302e+00	1.491359e-01
2.531133549104303e-03	4.010531e+00	1.517276e-01
2.540899174104303e-03	4.015572e+00	1.542266e-01
2.550664799104303e-03	4.020426e+00	1.566344e-01
2.560430424104303e-03	4.025097e+00	1.589521e-01
2.570196049104303e-03	4.029587e+00	1.611811e-01
2.579961674104303e-03	4.033899e+00	1.633226e-01
2.589727299104303e-03	4.038035e+00	1.653777e-01
2.599492924104303e-03	4.041997e+00	1.673476e-01
2.609258549104303e-03	4.045788e+00	1.692333e-01
2.619024174104303e-03	4.049409e+00	1.710356e-01
2.628789799104303e-03	4.052862e+00	1.727553e-01
2.638555424104303e-03	4.056148e+00	1.743929e-01
2.648321049104303e-03	4.059268e+00	1.759491e-01
2.658086674104303e-03	4.062222e+00	1.774240e-01
2.667852299104303e-03	4.065012e+00	1.788179e-01
2.677617924104303e-03	4.067637e+00	1.801307e-01
2.687383549104303e-03	4.070097e+00	1.813623e-01
2.697149174104303e-03	4.072391e+00	1.825124e-01
2.706914799104303e-03	4.074518e+00	1.835804e-01
2.716680424104303e-03	4.076477e+00	1.845657e-01
2.726446049104303e-03	4.078266e+00	1.854676e-01
2.736211674104303e-03	4.079884e+00	1.862850e-01
2.745977299104303e-03	4.081327e+00	1.870168e-01
2.755742924104303e-03	4.082594e+00	1.876618e-01
2.765508549104303e-03	4.083682e+00	1.882184e-01
2.775274174104303e-03	4.084586e+00	1.886851e-01
2.785039799104303e-03	4.085304e+00	1.890602e-01
2.794805424104303e-03	4.085833e+00	1.893417e-01
2.804571049104303e-03	4.086167e+00	1.895277e-01
2.814336674104303e-03	4.086303e+00	1.896160e-01
2.824102299104303e-03	4.086236e+00	1.896045e-01
2.833867924104303e-03	4.085961e+00	1.894908e-01
2.843633549104303e-03	4.085474e+00	1.892725e-01
2.853399174104303e-03	4.084770e+00	1.889472e-01
2.863164799104303e-03	4.083843e+00	1.885124e-01
2.872930424104303e-03	4.082689e+00	1.879656e-01
2.882696049104303e-03	4.081303e+00	1.873046e-01
2.892461674104303e-03	4.079679e+00	1.865268e-01
2.902227299104303e-03	4.077815e+00	1.856302e-01
2.911992924104303e-03	4.075705e+00	1.846127e-01
2.921758549104303e-03	4.073345e+00	1.834723e-01
2.931524174104303e-03	4.070733e+00	1.822076e-01
2.941289799104303e-03	4.067866e+00	1.808171e-01
2.951055424104303e-03	4.064742e+00	1.792999e-01
2.960821049104303e-03	4.061358e+00	1.776553e-01
2.970586674104303e-03	4.057716e+00	1.758831e-01
2.980352299104303e-03	4.053815e+00	1.739832e-01
2.990117924104303e-03	4.049657e+00	1.719563e-01
2.999883549104303e-03	4.045242e+00	1.698032e-01
3.009649174104303e-03	4.040574e+00	1.675253e-01
3.019414799104303e-03	4.035656e+00	1.651240e-01
3.029180424104303e-03	4.030492e+00	1.626015e-01
3.038946049104303e-03	4.025087e+00	1.599600e-01
3.048711674104303e-03	4.019446e+00	1.572020e-01
3.058477299104303e-03	4.013574e+00	1.543302e-01
3.068242924104303e-03	4.007478e+00	1.513476e-01
3.078008549104303e-03	4.001163e+00	1.482572e-01
3.087774174104303e-03	3.994637e+00	1.450621e-01
3.097539799104303e-03	3.987905e+00	1.417657e-01
3.107305424104303e-03	3.980974e+00	1.383711e-01
3.117071049104303e-03	3.973852e+00	1.348817e-01
3.126836674104303e-03	3.966545e+00	1.313007e-01
3.136602299104303e-03	3.959059e+00	1.276314e-01
3.146367924104303e-03	3.951401e+00	1.238770e-01
3.156133549104303e-03	3.943577e+00	1.200407e-01
3.165899174104303e-03	3.935595e+00	1.161258e-01
3.175664799104303e-03	3.927460e+00	1.121353e-01
3.185430424104303e-03	3.919178e+00	1.080724e-01
3.195196049104303e-03	3.910757e+00	1.039400e-01
3.202271756553180e-03	3.904572e+00	1.009043e-01
3.209350229483797e-03	3.898316e+00	9.783365e-02
3.214692058910848e-03	3.893551e+00	9.549472e-02
3.220372488257862e-03	3.888445e+00	9.298778e-02
3.226918946655501e-03	3.882510e+00	9.007406e-02
3.232471004892370e-03	3.877437e+00	8.758295e-02
3.237895533982038e-03	3.872446e+00	8.513191e-02
3.245018724991567e-03	3.865841e+00	8.188847e-02
3.254191380444399e-03	3.857257e+00	7.767195e-02
3.263957005444399e-03	3.848023e+00	7.313599e-02
3.273722630444399e-03	3.838698e+00	6.855460e-02
3.283488255444399e-03	3.829288e+00	6.393072e-02
3.293253880444399e-03	3.819798e+00	5.926731e-02
3.303019505444399e-03	3.810236e+00	5.456732e-02
3.311942803506876e-03	3.801439e+00	5.024325e-02
3.321708428506876e-03	3.791754e+00	4.548155e-02
3.331053060542041e-03	3.782434e+00	4.089894e-02
3.340818685542041e-03	3.772645e+00	3.608546e-02
3.350584310542041e-03	3.762813e+00	3.124995e-02
3.360349935542041e-03	3.752944e+00	2.639549e-02
3.370115560542041e-03	3.743043e+00	2.152511e-02
3.379881185542041e-03	3.733117e+00	1.664191e-02
3.389646810542041e-03	3.723173e+00	1.174899e-02
3.399412435542040e-03	3.713217e+00	6.849473e-03
3.409178060542041e-03	3.703255e+00	1.946531e-03
3.418943685542040e-03	3.693294e+00	-2.956651e-03
3.428709310542041e-03	3.683341e+00	-7.856836e-03
3.438474935542040e-03	3.673401e+00	-1.275076e-02
3.448240560542041e-03	3.663481e+00	-1.763512e-02
3.458006185542041e-03	3.653589e+00	-2.250654e-02
3.467771810542041e-03	3.643732e+00	-2.736163e-02
3.477537435542041e-03	3.633916e+00	-3.219691e-02
3.487303060542041e-03	3.624149e+00	-3.700886e-02
3.497068685542041e-03	3.614438e+00	-4.179391e-02
3.506834310542041e-03	3.604789e+00	-4.654838e-02
3.516599935542041e-03	3.595212e+00	-5.126859e-02
3.526365560542041e-03	3.585714e+00	-5.595073e-02
3.536131185542041e-03	3.576301e+00	-6.059097e-02
3.545896810542041e-03	3.566983e+00	-6.518542e-02
3.555662435542041e-03	3.557767e+00	-6.973014e-02
3.565428060542041e-03	3.548661e+00	-7.422114e-02
3.575193685542041e-03	3.539674e+00	-7.865445e-02
3.584959310542041e-03	3.530813e+00	-8.302608e-02
3.594724935542041e-03	3.522087e+00	-8.733209e-02
3.604490560542041e-03	3.513503e+00	-9.156861e-02
3.614256185542041e-03	3.505069e+00	-9.573187e-02
3.624021810542041e-03	3.496793e+00	-9.981824e-02
3.633787435542041e-03	3.488680e+00	-1.038243e-01
3.643553060542041e-03	3.480739e+00	-1.077468e-01
3.653318685542041e-03	3.472974e+00	-1.115829e-01
3.663084310542040e-03	3.465391e+00	-1.153299e-01
3.672849935542041e-03	3.457995e+00	-1.189855e-01
3.682615560542040e-03	3.450789e+00	-1.225478e-01
3.692381185542041e-03	3.443777e+00	-1.260152e-01
